Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
C6orf120,387263,no,no,yes,no,no,no,no,1
LINC00533,387055,no,no,no,yes,no,no,no,1
GUSBP2,387036,no,no,no,no,no,no,yes,1
KRT6B,3854,no,no,yes,no,no,no,no,1
KRT6A,3853,no,no,yes,no,no,no,no,1
IPO5,3843,no,no,no,no,yes,no,no,1
KPNB1,3837,no,no,yes,no,no,no,no,1
KIF25,3834,no,no,yes,no,no,no,no,1
KLRC1,3821,no,no,yes,no,no,no,no,1
KIF2A,3796,yes,no,no,no,no,no,no,1
ARL4D,379,no,no,yes,no,no,no,no,1
MALAT1,378938,no,no,yes,no,no,no,no,1
KCNMB1,3779,no,no,yes,no,no,no,no,1
KCNJ15,3772,no,no,yes,no,no,no,no,1
SLC26A5,375611,no,no,yes,no,no,no,no,1
NRROS,375387,no,yes,no,no,no,no,no,1
ANKRD36,375248,no,no,yes,no,no,no,no,1
PFN4,375189,no,no,yes,no,no,no,no,1
SBSN,374897,no,no,yes,no,no,no,no,1
C12orf42,374470,no,no,no,yes,no,no,no,1
NHLRC2,374354,no,no,yes,no,no,no,no,1
CDRT1,374286,no,no,yes,no,no,no,no,1
DND1,373863,no,no,no,yes,no,no,no,1
TRIM23,373,no,no,yes,no,no,no,no,1
JUND,3727,no,no,yes,no,no,no,no,1
JARID2,3720,no,no,no,no,yes,no,no,1
JAK2,3717,no,no,yes,no,no,no,no,1
JAK1,3716,no,no,yes,no,no,no,no,1
ITPR3,3710,no,no,no,no,no,no,yes,1
ITPR2,3709,no,no,yes,no,no,no,no,1
STT3A,3703,no,no,no,yes,no,no,no,1
ITK,3702,no,no,no,no,yes,no,no,1
ITIH2,3698,no,no,yes,no,no,no,no,1
ITGB8,3696,no,no,yes,no,no,no,no,1
ITGAV,3685,no,no,yes,no,no,no,no,1
ABCC6,368,no,yes,no,no,no,no,no,1
AR,367,no,no,no,no,yes,no,no,1
INHA,3623,no,no,no,no,yes,no,no,1
AQP4,361,no,no,yes,no,no,no,no,1
IL18,3606,no,no,no,no,yes,no,no,1
TMPRSS9,360200,no,no,yes,no,no,no,no,1
ACADSB,36,no,no,yes,no,no,no,no,1
IL12B,3593,no,no,no,no,yes,no,no,1
IL10,3586,no,no,no,no,yes,no,no,1
AQP1,358,no,no,yes,no,no,no,no,1
CXCR2,3579,no,no,no,no,yes,no,no,1
CXCR1,3577,no,no,yes,no,no,no,no,1
CXCL8,3576,no,no,yes,no,no,no,no,1
IL6ST,3572,no,no,yes,no,no,no,no,1
IL6,3569,no,no,yes,no,no,no,no,1
IL4,3565,no,no,no,no,yes,no,no,1
IL3,3562,no,no,no,no,yes,no,no,1
FASLG,356,no,no,yes,no,no,no,no,1
IL1RN,3557,no,no,no,no,yes,no,no,1
IL1R1,3554,no,no,yes,no,no,no,no,1
IL1A,3552,no,no,no,no,yes,no,no,1
FAS,355,no,no,no,no,yes,no,no,1
IK,3550,no,no,no,yes,no,no,no,1
KLK3,354,no,no,yes,no,no,no,no,1
SPATA12,353324,no,no,yes,no,no,no,no,1
ANKRD37,353322,no,no,yes,no,no,no,no,1
TBC1D26,353149,no,no,yes,no,no,no,no,1
JCHAIN,3512,no,no,yes,no,no,no,no,1
LINC00965,349196,no,no,yes,no,no,no,no,1
DPY19L2P2,349152,no,no,yes,no,no,no,no,1
GJC3,349149,no,no,yes,no,no,no,no,1
CYR61,3491,no,no,yes,no,no,no,no,1
IGFBP6,3489,no,no,yes,no,no,no,no,1
WDR53,348793,no,yes,no,no,no,no,no,1
SELV,348303,no,no,yes,no,no,no,no,1
ANKDD1A,348094,no,no,yes,no,no,no,no,1
APOE,348,no,no,no,no,yes,no,no,1
TUBB2B,347733,no,no,yes,no,no,no,no,1
LANCL3,347404,no,no,yes,no,no,no,no,1
MURC,347273,no,no,yes,no,no,no,no,1
SLC10A5,347051,no,no,yes,no,no,no,no,1
APOD,347,no,no,yes,no,no,no,no,1
MOGAT3,346606,no,no,yes,no,no,no,no,1
ZNF391,346157,no,no,no,no,no,no,yes,1
OSTN,344901,no,no,yes,no,no,no,no,1
LOC344887,344887,no,no,yes,no,no,no,no,1
COL6A4P1,344875,no,no,yes,no,no,no,no,1
GPR149,344758,no,no,yes,no,no,no,no,1
LRRIQ4,344657,no,no,yes,no,no,no,no,1
BARHL2,343472,no,no,yes,no,no,no,no,1
OR2W3,343171,no,no,yes,no,no,no,no,1
ZSCAN5B,342933,no,no,yes,no,no,no,no,1
ATXN1L,342371,no,no,yes,no,no,no,no,1
IDH3A,3419,no,no,yes,no,no,no,no,1
OR2AT4,341152,no,no,yes,no,no,no,no,1
LHFPL1,340596,no,no,yes,no,no,no,no,1
BEX5,340542,no,no,yes,no,no,no,no,1
LINC01501,340515,no,no,yes,no,no,no,no,1
POTEA,340441,no,no,yes,no,no,no,no,1
ZNF680,340252,no,no,yes,no,no,no,no,1
ID4,3400,no,no,yes,no,no,no,no,1
KY,339855,no,no,no,no,yes,no,no,1
