Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
SLC35G2,80723,no,no,no,yes,no,no,no,1
FOSL1,8061,no,no,yes,no,no,no,no,1
PDCD1LG2,80380,no,no,yes,no,no,no,no,1
ZSCAN16,80345,no,no,no,no,no,no,yes,1
CCDC68,80323,no,no,no,yes,no,no,no,1
KLHL15,80311,no,no,yes,no,no,no,no,1
PDGFD,80310,no,no,yes,no,no,no,no,1
FER1L4,80307,no,no,yes,no,no,no,no,1
GRPEL1,80273,no,no,yes,no,no,no,no,1
STAM,8027,no,no,yes,no,no,no,no,1
SLC35F5,80255,no,no,yes,no,no,no,no,1
PREX2,80243,no,no,yes,no,no,no,no,1
PIGZ,80235,no,yes,no,no,no,no,no,1
CXorf21,80231,no,no,yes,no,no,no,no,1
NUP214,8021,no,no,yes,no,no,no,no,1
IFT74,80173,no,no,no,yes,no,no,no,1
CWH43,80157,no,no,yes,no,no,no,no,1
LOC80154,80154,no,no,no,no,no,no,yes,1
EDC3,80153,no,no,yes,no,no,no,no,1
CENPT,80152,no,no,no,yes,no,no,no,1
PTGES2,80142,no,no,yes,no,no,no,no,1
NR4A3,8013,no,no,yes,no,no,no,no,1
BBOF1,80127,no,no,yes,no,no,no,no,1
ZFP2,80108,no,no,yes,no,no,no,no,1
C14orf159,80017,no,no,yes,no,no,no,no,1
FAM188A,80013,no,no,yes,no,no,no,no,1
ESRP2,80004,no,no,no,yes,no,no,no,1
TTC26,79989,no,yes,no,no,no,no,no,1
CPED1,79974,no,no,yes,no,no,no,no,1
ZNF442,79973,no,no,yes,no,no,no,no,1
CEP76,79959,no,no,yes,no,no,no,no,1
DHDDS,79947,no,no,yes,no,no,no,no,1
LINC00472,79940,no,no,yes,no,no,no,no,1
CNTD2,79935,no,no,yes,no,no,no,no,1
NUP85,79902,no,no,yes,no,no,no,no,1
CYBRD1,79901,no,no,yes,no,no,no,no,1
RPP21,79897,no,no,no,no,yes,no,no,1
LPCAT1,79888,no,no,yes,no,no,no,no,1
PLBD1,79887,no,no,yes,no,no,no,no,1
RNF122,79845,no,no,yes,no,no,no,no,1
ZDHHC11,79844,no,no,yes,no,no,no,no,1
ARHGEF5,7984,no,no,yes,no,no,no,no,1
QSER1,79832,no,no,yes,no,no,no,no,1
METTL8,79828,no,no,yes,no,no,no,no,1
CLMP,79827,no,no,yes,no,no,no,no,1
TFPI2,7980,no,no,yes,no,no,no,no,1
LRRC31,79782,no,no,yes,no,no,no,no,1
IQCA1,79781,no,no,yes,no,no,no,no,1
GEMIN7,79760,no,no,yes,no,no,no,no,1
FZD3,7976,no,no,no,no,yes,no,no,1
PALB2,79728,no,no,yes,no,no,no,no,1
IGFLR1,79713,no,no,yes,no,no,no,no,1
MORC4,79710,no,no,yes,no,no,no,no,1
CALCB,797,no,no,yes,no,no,no,no,1
ZNF322,79692,no,no,no,no,no,no,yes,1
STEAP4,79689,no,no,yes,no,no,no,no,1
C22orf29,79680,no,yes,no,no,no,no,no,1
VEPH1,79674,no,no,yes,no,no,no,no,1
PPP1R3B,79660,no,no,yes,no,no,no,no,1
BEND5,79656,no,no,yes,no,no,no,no,1
C1orf54,79630,no,no,no,yes,no,no,no,1
OCEL1,79629,no,no,yes,no,no,no,no,1
ACSS3,79611,no,no,yes,no,no,no,no,1
PGBD5,79605,no,no,yes,no,no,no,no,1
EPM2A,7957,no,no,yes,no,no,no,no,1
LST1,7940,no,no,yes,no,no,no,no,1
NOX5,79400,no,no,yes,no,no,no,no,1
ZXDC,79364,no,no,yes,no,no,no,no,1
ZNF576,79177,no,no,yes,no,no,no,no,1
NOL12,79159,no,no,yes,no,no,no,no,1
MFSD11,79157,no,no,yes,no,no,no,no,1
GDPD3,79153,no,no,no,yes,no,no,no,1
PPDPF,79144,no,no,no,no,no,no,yes,1
FAM134A,79137,no,no,no,no,yes,no,no,1
LY6G6E,79136,no,no,yes,no,no,no,no,1
PWRN2,791115,no,yes,no,no,no,no,no,1
PRRG3,79057,no,no,yes,no,no,no,no,1
ST8SIA4,7903,no,no,yes,no,no,no,no,1
ZNF655,79027,no,no,yes,no,no,no,no,1
C20orf195,79025,no,no,no,no,no,no,yes,1
USP7,7874,no,yes,no,no,no,no,no,1
SLMAP,7871,no,no,yes,no,no,no,no,1
MALL,7851,no,no,no,no,yes,no,no,1
CACNB3,784,no,no,yes,no,no,no,no,1
ALMS1,7840,no,no,no,no,no,yes,no,1
ZYX,7791,no,no,yes,no,no,no,no,1
ZNF204P,7754,no,no,no,no,no,no,yes,1
ZSCAN9,7746,no,no,no,no,no,no,yes,1
ZSCAN26,7741,no,no,no,no,no,no,yes,1
ZNF184,7738,no,no,no,no,no,no,yes,1
TRIM26,7726,no,no,no,yes,no,no,no,1
ZNF165,7718,no,no,no,no,no,no,yes,1
CA12,771,no,no,yes,no,no,no,no,1
ZBTB16,7704,no,no,yes,no,no,no,no,1
CA11,770,no,no,yes,no,no,no,no,1
MIR454,768216,no,no,yes,no,no,no,no,1
MKRN3,7681,no,yes,no,no,no,no,no,1
SNORD114-27,767608,no,no,yes,no,no,no,no,1
SNORD114-2,767578,no,no,yes,no,no,no,no,1
CA8,767,no,no,no,yes,no,no,no,1
ZNF74,7625,no,yes,no,no,no,no,no,1
CA4,762,no,no,yes,no,no,no,no,1
YWHAH,7533,no,no,no,no,yes,no,no,1
LDLRAD4,753,no,no,no,no,yes,no,no,1
XRCC1,7515,no,no,yes,no,no,no,no,1
XPNPEP2,7512,no,no,yes,no,no,no,no,1
XPNPEP1,7511,no,no,yes,no,no,no,no,1
METTL12,751071,no,no,yes,no,no,no,no,1
XBP1,7494,no,no,no,no,yes,no,no,1
WRB,7485,no,no,yes,no,no,no,no,1
WNT7A,7476,no,no,yes,no,no,no,no,1
WHSC2,7469,no,no,yes,no,no,no,no,1
WFS1,7466,no,no,yes,no,no,no,no,1
VIPR2,7434,no,yes,no,no,no,no,no,1
VDAC2,7417,no,no,yes,no,no,no,no,1
VCAM1,7412,no,no,yes,no,no,no,no,1
USF2,7392,no,no,yes,no,no,no,no,1
UQCRC1,7384,no,no,yes,no,no,no,no,1
UQCRB,7381,no,no,yes,no,no,no,no,1
UNG,7374,no,no,yes,no,no,no,no,1
UCP3,7352,no,no,yes,no,no,no,no,1
UBE3A,7337,no,yes,no,no,no,no,no,1
UBE2N,7334,no,no,yes,no,no,no,no,1
UBE2D2,7322,no,no,yes,no,no,no,no,1
UBE2B,7320,no,no,yes,no,no,no,no,1
UBE2A,7319,no,no,yes,no,no,no,no,1
FAM166B,730112,no,no,yes,no,no,no,no,1
RGPD2,729857,no,no,yes,no,no,no,no,1
FAM72A,729533,no,no,yes,no,no,no,no,1
NPM1P46,729342,no,no,no,yes,no,no,no,1
TNFSF4,7292,no,no,yes,no,no,no,no,1
LOC729020,729020,no,no,no,no,no,no,yes,1
HIRA,7290,no,yes,no,no,no,no,no,1
FAM182B,728882,no,no,yes,no,no,no,no,1
SPANXB1,728695,no,no,yes,no,no,no,no,1
TUFT1,7286,no,no,yes,no,no,no,no,1
FAM157A,728262,no,no,yes,no,no,no,no,1
LOC727751,727751,no,no,no,no,no,no,yes,1
TSNAX,7257,no,no,no,no,yes,no,no,1
C4BPB,725,no,no,yes,no,no,no,no,1
INS-IGF2,723961,no,no,yes,no,no,no,no,1
MIR651,723779,no,no,yes,no,no,no,no,1
TRPS1,7227,no,no,yes,no,no,no,no,1
TRPC3,7222,no,no,yes,no,no,no,no,1
C4B,721,no,no,no,no,yes,no,no,1
TRHR,7201,no,no,yes,no,no,no,no,1
C3,718,no,no,no,no,yes,no,no,1
TPTE,7179,no,no,yes,no,no,no,no,1
TPO,7173,no,no,yes,no,no,no,no,1
TPM3,7170,no,no,yes,no,no,no,no,1
TPH1,7166,no,no,no,no,yes,no,no,1
TPD52L1,7164,no,no,yes,no,no,no,no,1
TP53BP2,7159,no,no,yes,no,no,no,no,1
TP53,7157,no,no,no,no,yes,no,no,1
TNNT2,7139,no,no,yes,no,no,no,no,1
TNNT1,7138,no,no,yes,no,no,no,no,1
TNFRSF1A,7132,no,no,yes,no,no,no,no,1
TNFAIP3,7128,no,no,yes,no,no,no,no,1
TNF,7124,no,no,no,no,yes,no,no,1
SERPING1,710,no,no,no,yes,no,no,no,1
TLE3,7090,no,no,no,yes,no,no,no,1
TLE1,7088,no,no,no,yes,no,no,no,1
TKT,7086,no,no,yes,no,no,no,no,1
THBS1,7057,no,no,yes,no,no,no,no,1
THBD,7056,no,no,yes,no,no,no,no,1
TH,7054,no,no,no,no,yes,no,no,1
TGFBR2,7048,no,no,yes,no,no,no,no,1
TGFB2,7042,no,no,yes,no,no,no,no,1
TEP1,7011,no,no,yes,no,no,no,no,1
TMBIM6,7009,no,no,yes,no,no,no,no,1
PRDX2,7001,no,no,yes,no,no,no,no,1
TCTE3,6991,no,no,yes,no,no,no,no,1
DYNLT3,6990,no,no,yes,no,no,no,no,1
BTN1A1,696,no,no,no,no,no,no,yes,1
TCP11,6954,no,no,yes,no,no,no,no,1
TCF15,6939,no,no,yes,no,no,no,no,1
TCF7L2,6934,no,no,yes,no,no,no,no,1
MIR648,693233,no,no,yes,no,no,no,no,1
MIR645,693230,no,no,yes,no,no,no,no,1
MIR644A,693229,no,no,yes,no,no,no,no,1
MIR643,693228,no,no,yes,no,no,no,no,1
MIR640,693225,no,no,no,yes,no,no,no,1
MIR627,693212,no,no,yes,no,no,no,no,1
MIR613,693198,no,no,yes,no,no,no,no,1
MIR605,693190,no,no,yes,no,no,no,no,1
MIR33B,693120,no,no,no,no,no,no,yes,1
SNORD91B,692208,no,no,no,no,no,no,yes,1
SNORD91A,692207,no,no,no,no,no,no,yes,1
SCARNA14,692149,no,no,yes,no,no,no,no,1
SNORD69,692109,no,no,no,no,no,no,yes,1
SNORD67,692108,no,no,yes,no,no,no,no,1
SNORD19,692089,no,no,no,no,no,no,yes,1
SNORD6,692075,no,no,yes,no,no,no,no,1
TAF13,6884,no,no,yes,no,no,no,no,1
TAF5,6877,no,no,no,yes,no,no,no,1
TAF2,6873,no,no,yes,no,no,no,no,1
TAC3,6866,no,no,no,yes,no,no,no,1
SYT1,6857,no,no,yes,no,no,no,no,1
SYP,6855,no,no,yes,no,no,no,no,1
SVIL,6840,no,no,yes,no,no,no,no,1
STX1A,6804,no,no,no,no,yes,no,no,1
STRN,6801,no,no,yes,no,no,no,no,1
STC1,6781,no,no,yes,no,no,no,no,1
SNORA28,677811,no,no,no,no,no,no,yes,1
STAT6,6778,no,no,no,yes,no,no,no,1
SNORA1,677792,no,no,yes,no,no,no,no,1
ZFP36L1,677,no,no,yes,no,no,no,no,1
ST5,6764,no,no,yes,no,no,no,no,1
SSTR5,6755,no,yes,no,no,no,no,no,1
SST,6750,no,no,yes,no,no,no,no,1
SRP72,6731,no,no,yes,no,no,no,no,1
SRMS,6725,no,no,no,no,no,no,yes,1
SREBF2,6721,no,no,no,yes,no,no,no,1
SRI,6717,no,no,yes,no,no,no,no,1
SQLE,6713,no,no,yes,no,no,no,no,1
SPRR2A,6700,no,no,yes,no,no,no,no,1
SPR,6697,no,no,yes,no,no,no,no,1
SPINT1,6692,no,no,yes,no,no,no,no,1
BPGM,669,no,no,yes,no,no,no,no,1
DST,667,no,no,yes,no,no,no,no,1
SOX10,6663,no,no,no,no,yes,no,no,1
SOX9,6662,no,no,yes,no,no,no,no,1
SOX5,6660,no,no,yes,no,no,no,no,1
SOS1,6654,no,no,yes,no,no,no,no,1
SOD3,6649,no,no,yes,no,no,no,no,1
SNAP25,6616,yes,no,no,no,no,no,no,1
SUMO2,6613,no,no,yes,no,no,no,no,1
SUMO3,6612,no,no,yes,no,no,no,no,1
BOLL,66037,no,no,no,yes,no,no,no,1
TRAK2,66008,no,no,yes,no,no,no,no,1
FAM173A,65990,no,no,yes,no,no,no,no,1
AACS,65985,no,no,yes,no,no,no,no,1
GRAMD3,65983,no,no,yes,no,no,no,no,1
BRD9,65980,no,yes,no,no,no,no,no,1
SMARCA4,6597,no,no,yes,no,no,no,no,1
SMARCA1,6594,no,no,yes,no,no,no,no,1
SLIT3,6586,no,no,no,no,yes,no,no,1
SLC22A5,6584,no,no,yes,no,no,no,no,1
BMPR1B,658,no,no,yes,no,no,no,no,1
SLC18A2,6571,no,no,no,no,yes,no,no,1
SLC18A1,6570,no,no,no,no,yes,no,no,1
SLC17A1,6568,no,no,no,no,no,no,yes,1
SLC14A1,6563,no,no,yes,no,no,no,no,1
SLC12A4,6560,no,no,no,yes,no,no,no,1
SLC7A4,6545,no,yes,no,no,no,no,no,1
NME1-NME2,654364,no,no,yes,no,no,no,no,1
ZNF732,654254,no,no,yes,no,no,no,no,1
SLC7A1,6541,no,no,yes,no,no,no,no,1
ACTR3C,653857,no,no,yes,no,no,no,no,1
SLC6A11,6538,no,no,yes,no,no,no,no,1
LOC653513,653513,no,no,yes,no,no,no,no,1
SLC6A4,6532,no,no,no,no,yes,no,no,1
C8orf33,65265,no,no,yes,no,no,no,no,1
SLC5A3,6526,no,no,yes,no,no,no,no,1
SLC3A1,6519,no,no,yes,no,no,no,no,1
ZNF192P1,651302,no,no,no,no,no,no,yes,1
INTS3,65123,no,no,yes,no,no,no,no,1
BMP3,651,no,no,yes,no,no,no,no,1
SLC1A4,6509,no,no,yes,no,no,no,no,1
MRPL44,65080,no,no,yes,no,no,no,no,1
ACD,65057,no,no,no,yes,no,no,no,1
SLC1A1,6505,no,no,yes,no,no,no,no,1
SKP2,6502,no,no,yes,no,no,no,no,1
BMP2,650,no,no,yes,no,no,no,no,1
MRPL40,64976,no,yes,no,no,no,no,no,1
SIX3,6496,no,no,yes,no,no,no,no,1
DLGAP1-AS1,649446,no,no,yes,no,no,no,no,1
HNRNPCL3,649330,no,no,yes,no,no,no,no,1
MRPL14,64928,no,no,yes,no,no,no,no,1
PAPOLG,64895,no,no,yes,no,no,no,no,1
CDCP1,64866,no,no,yes,no,no,no,no,1
NABP1,64859,no,no,yes,no,no,no,no,1
ETNPPL,64850,no,no,yes,no,no,no,no,1
FBXL17,64839,no,no,yes,no,no,no,no,1
RMND5B,64777,no,no,yes,no,no,no,no,1
SMYD3,64754,no,no,yes,no,no,no,no,1
SMURF2,64750,no,no,yes,no,no,no,no,1
SMAP2,64744,no,no,yes,no,no,no,no,1
TEX22,647310,no,no,yes,no,no,no,no,1
SHMT2,6472,no,no,no,yes,no,no,no,1
TMPRSS3,64699,no,no,yes,no,no,no,no,1
CSRNP1,64651,no,no,yes,no,no,no,no,1
SPINK8,646424,no,no,yes,no,no,no,no,1
SHC1,6464,no,no,yes,no,no,no,no,1
PLA2G2F,64600,no,no,yes,no,no,no,no,1
CLEC7A,64581,no,no,yes,no,no,no,no,1
MT1HL1,645745,no,no,yes,no,no,no,no,1
SH3GL3,6457,no,no,yes,no,no,no,no,1
ARRDC5,645432,no,no,yes,no,no,no,no,1
TEKT3,64518,no,yes,no,no,no,no,no,1
SH3BGR,6450,no,no,yes,no,no,no,no,1
RASSF10,644943,no,no,yes,no,no,no,no,1
MEIG1,644890,no,no,yes,no,no,no,no,1
TMEM30C,644444,no,no,yes,no,no,no,no,1
WBSCR17,64409,no,yes,no,no,no,no,no,1
AKTIP,64400,no,no,yes,no,no,no,no,1
GMCL1,64395,no,no,yes,no,no,no,no,1
UG0898H09,643763,no,no,yes,no,no,no,no,1
IKZF5,64376,no,no,yes,no,no,no,no,1
CCDC168,643677,no,no,yes,no,no,no,no,1
HIF3A,64344,no,no,yes,no,no,no,no,1
C15orf62,643338,no,no,yes,no,no,no,no,1
LMBR1,64327,no,no,yes,no,no,no,no,1
SOX17,64321,no,no,yes,no,no,no,no,1
FLVCR1-AS1,642946,no,no,yes,no,no,no,no,1
LOC642423,642423,no,no,no,no,no,no,yes,1
ROBO3,64221,no,no,yes,no,no,no,no,1
PJA1,64219,no,no,no,yes,no,no,no,1
DPEP3,64180,no,no,no,yes,no,no,no,1
DPEP2,64174,no,no,no,yes,no,no,no,1
NECAB1,64168,no,no,yes,no,no,no,no,1
SNORD87,641648,no,no,yes,no,no,no,no,1
DIO3OS,64150,no,no,yes,no,no,no,no,1
ACOT6,641372,no,no,yes,no,no,no,no,1
LINC00616,641365,no,no,yes,no,no,no,no,1
MAGEF1,64110,no,no,yes,no,no,no,no,1
SLC28A3,64078,no,no,yes,no,no,no,no,1
SELPLG,6404,no,no,yes,no,no,no,no,1
PCGEM1,64002,no,no,no,yes,no,no,no,1
NEUROD6,63974,no,no,yes,no,no,no,no,1
NEUROG2,63973,no,no,yes,no,no,no,no,1
KIF13A,63971,no,yes,no,no,no,no,no,1
DMRTA2,63950,no,no,yes,no,no,no,no,1
FAM217B,63939,no,no,yes,no,no,no,no,1
PRDM1,639,no,no,yes,no,no,no,no,1
CXCL12,6387,no,no,yes,no,no,no,no,1
SDC4,6385,no,no,yes,no,no,no,no,1
BCAN,63827,no,no,no,no,yes,no,no,1
BID,637,no,no,yes,no,no,no,no,1
CCL1,6346,no,no,yes,no,no,no,no,1
SCT,6343,no,no,yes,no,no,no,no,1
SCN8A,6334,no,no,yes,no,no,no,no,1
SCN1B,6324,no,no,yes,no,no,no,no,1
SCML1,6322,no,no,yes,no,no,no,no,1
ATXN7,6314,no,no,no,yes,no,no,no,1
CFB,629,no,no,no,no,yes,no,no,1
S100A10,6281,no,no,no,no,yes,no,no,1
S100A9,6280,no,no,yes,no,no,no,no,1
S100A1,6271,no,no,no,no,yes,no,no,1
RYR3,6263,no,no,yes,no,no,no,no,1
RRAD,6236,no,no,yes,no,no,no,no,1
RPS27A,6233,no,no,yes,no,no,no,no,1
RPS9,6203,no,no,yes,no,no,no,no,1
RPS6KA3,6197,no,no,yes,no,no,no,no,1
SNORA4,619568,no,no,yes,no,no,no,no,1
LINC00051,619434,no,no,no,no,no,no,yes,1
FDPSP2,619190,no,no,yes,no,no,no,no,1
BCS1L,617,no,no,yes,no,no,no,no,1
RPL37,6167,no,no,yes,no,no,no,no,1
RPL27,6155,no,no,yes,no,no,no,no,1
RPL21,6144,no,no,yes,no,no,no,no,1
LOC613038,613038,no,no,no,no,no,no,yes,1
RPL7,6129,no,no,yes,no,no,no,no,1
RPA3,6119,no,no,yes,no,no,no,no,1
HCN2,610,no,no,yes,no,no,no,no,1
ROBO2,6092,no,no,yes,no,no,no,no,1
RNY4,6086,no,no,yes,no,no,no,no,1
TNFRSF17,608,no,no,yes,no,no,no,no,1
SNORD15A,6079,no,no,yes,no,no,no,no,1
LOC606724,606724,no,no,no,no,no,no,yes,1
CCDC81,60494,no,no,yes,no,no,no,no,1
ELOVL5,60481,no,no,yes,no,no,no,no,1
BCL6,604,no,no,yes,no,no,no,no,1
RIT2,6014,no,yes,no,no,no,no,no,1
RLN1,6013,no,no,yes,no,no,no,no,1
RHCE,6006,no,no,yes,no,no,no,no,1
RGS1,5996,no,no,yes,no,no,no,no,1
RFX5,5993,no,no,yes,no,no,no,no,1
RFX4,5992,no,no,yes,no,no,no,no,1
BCL2L2,599,no,no,yes,no,no,no,no,1
RFC4,5984,no,no,yes,no,no,no,no,1
RENBP,5973,no,no,no,yes,no,no,no,1
RCN1,5954,no,no,no,no,no,yes,no,1
CCND1,595,no,no,yes,no,no,no,no,1
RBMS1,5937,no,no,yes,no,no,no,no,1
LGR6,59352,no,no,yes,no,no,no,no,1
RXFP1,59350,no,no,yes,no,no,no,no,1
ZNF350,59348,no,no,yes,no,no,no,no,1
ALOXE3,59344,no,no,yes,no,no,no,no,1
HRH4,59340,no,no,yes,no,no,no,no,1
RBBP6,5930,no,no,yes,no,no,no,no,1
KDM5A,5927,no,no,yes,no,no,no,no,1
RANGAP1,5905,no,no,no,yes,no,no,no,1
RAD52,5893,no,no,yes,no,no,no,no,1
QARS,5859,no,no,yes,no,no,no,no,1
PZP,5858,no,no,yes,no,no,no,no,1
DNASE2B,58511,no,no,yes,no,no,no,no,1
ZNF462,58499,no,no,yes,no,no,no,no,1
BBS2,583,no,no,yes,no,no,no,no,1
PTBP2,58155,no,no,yes,no,no,no,no,1
PTX3,5806,no,no,yes,no,no,no,no,1
PTPRZ1,5803,no,no,no,no,yes,no,no,1
PTPRO,5800,no,no,yes,no,no,no,no,1
PTPRM,5797,no,yes,no,no,no,no,no,1
PTPRF,5792,no,no,no,yes,no,no,no,1
PTPRC,5788,no,no,yes,no,no,no,no,1
SLC4A5,57835,no,no,yes,no,no,no,no,1
CATSPERG,57828,no,no,yes,no,no,no,no,1
FAM5B,57795,no,no,no,yes,no,no,no,1
PTPN7,5778,no,no,yes,no,no,no,no,1
IGDCC4,57722,no,no,yes,no,no,no,no,1
GBA2,57704,no,no,yes,no,no,no,no,1
PTPN1,5770,no,no,yes,no,no,no,no,1
TNRC6C,57690,no,no,yes,no,no,no,no,1
CACHD1,57685,no,no,yes,no,no,no,no,1
EPB41L5,57669,no,no,yes,no,no,no,no,1
HCN3,57657,no,no,yes,no,no,no,no,1
PTN,5764,no,no,no,yes,no,no,no,1
DPP10,57628,no,no,yes,no,no,no,no,1
RANBP10,57610,no,no,no,yes,no,no,no,1
KIAA1456,57604,no,no,yes,no,no,no,no,1
MKL1,57591,no,no,no,yes,no,no,no,1
ARHGAP21,57584,no,no,yes,no,no,no,no,1
ZNF319,57567,no,no,yes,no,no,no,no,1
CEP126,57562,no,no,yes,no,no,no,no,1
ARRDC3,57561,no,no,yes,no,no,no,no,1
CC2D2A,57545,no,no,yes,no,no,no,no,1
ALPK3,57538,no,no,no,no,no,no,yes,1
PTK6,5753,no,no,no,no,no,no,yes,1
SRGAP1,57522,no,no,yes,no,no,no,no,1
COG6,57511,no,no,yes,no,no,no,no,1
NLGN4X,57502,no,no,no,yes,no,no,no,1
MKL2,57496,no,no,yes,no,no,no,no,1
RIMKLB,57494,no,no,yes,no,no,no,no,1
GRAMD1B,57476,no,no,no,yes,no,no,no,1
PPM1H,57460,no,no,yes,no,no,no,no,1
MIR495,574453,no,no,yes,no,no,no,no,1
MIR432,574451,no,no,yes,no,no,no,no,1
MIR202,574448,no,no,yes,no,no,no,no,1
C1orf145,574407,no,no,yes,no,no,no,no,1
PTH,5741,no,no,yes,no,no,no,no,1
SERTAD4-AS1,574036,no,no,yes,no,no,no,no,1
MIR433,574034,no,no,yes,no,no,no,no,1
CLK4,57396,no,no,yes,no,no,no,no,1
RCN3,57333,no,no,no,yes,no,no,no,1
PBXIP1,57326,no,no,yes,no,no,no,no,1
PTGER1,5731,no,no,yes,no,no,no,no,1
SLC4A10,57282,no,no,no,yes,no,no,no,1
SNX14,57231,no,no,yes,no,no,no,no,1
TTC7A,57217,no,no,yes,no,no,no,no,1
THAP11,57215,no,no,no,yes,no,no,no,1
ADGRG6,57211,no,no,yes,no,no,no,no,1
ADAMTSL3,57188,no,no,no,yes,no,no,no,1
RTN4,57142,no,no,no,no,yes,no,no,1
RHBG,57127,no,no,yes,no,no,no,no,1
RAB25,57111,no,no,yes,no,no,no,no,1
PLSCR4,57088,no,no,yes,no,no,no,no,1
PSMC3,5702,no,no,yes,no,no,no,no,1
ADAMTS9,56999,no,no,yes,no,no,no,no,1
CHPT1,56994,no,no,yes,no,no,no,no,1
PSMB10,5699,no,no,no,yes,no,no,no,1
CDC42SE2,56990,no,no,no,no,yes,no,no,1
PYY,5697,no,no,yes,no,no,no,no,1
OTUD7B,56957,no,no,no,yes,no,no,no,1
PSMB7,5695,no,no,yes,no,no,no,no,1
MFF,56947,no,no,yes,no,no,no,no,1
OLFML3,56944,no,no,yes,no,no,no,no,1
PAK6,56924,no,no,no,yes,no,no,no,1
MCCC1,56922,no,no,yes,no,no,no,no,1
PAPOLB,56903,no,no,yes,no,no,no,no,1
NDUFA4L2,56901,no,no,no,yes,no,no,no,1
PSMB2,5690,no,no,yes,no,no,no,no,1
TMEM167B,56900,no,no,yes,no,no,no,no,1
PSMA7,5688,no,no,yes,no,no,no,no,1
PSMA6,5687,no,no,yes,no,no,no,no,1
PSMA4,5685,no,no,no,yes,no,no,no,1
PSMA3,5684,no,no,yes,no,no,no,no,1
GPR137,56834,no,no,yes,no,no,no,no,1
PSMA1,5682,no,no,yes,no,no,no,no,1
PSKH1,5681,no,no,no,yes,no,no,no,1
LINC00470,56651,no,no,yes,no,no,no,no,1
CYP26B1,56603,no,no,no,yes,no,no,no,1
PRSS3,5646,no,no,yes,no,no,no,no,1
PRRG2,5639,no,no,no,yes,no,no,no,1
PRPS2,5634,no,no,yes,no,no,no,no,1
PRPS1,5631,no,no,yes,no,no,no,no,1
PRPH,5630,no,no,yes,no,no,no,no,1
CPXM1,56265,no,no,yes,no,no,no,no,1
LRRC8A,56262,no,no,yes,no,no,no,no,1
TMX4,56255,no,no,yes,no,no,no,no,1
PROC,5624,no,no,no,no,yes,no,no,1
STK31,56164,no,no,yes,no,no,no,no,1
RNF17,56163,no,no,yes,no,no,no,no,1
NSMCE3,56160,no,yes,no,no,no,no,no,1
PCDHA1,56147,no,no,no,yes,no,no,no,1
PCDHA2,56146,no,no,no,yes,no,no,no,1
PCDHA3,56145,no,no,no,yes,no,no,no,1
PCDHA4,56144,no,no,no,yes,no,no,no,1
PCDHA5,56143,no,no,no,yes,no,no,no,1
PCDHA6,56142,no,no,no,yes,no,no,no,1
PCDHA7,56141,no,no,no,yes,no,no,no,1
PCDHA10,56139,no,no,no,yes,no,no,no,1
PCDHAC2,56134,no,no,yes,no,no,no,no,1
DNAJC3,5611,no,no,yes,no,no,no,no,1
MAP2K6,5608,no,no,yes,no,no,no,no,1
MAPK9,5601,no,no,yes,no,no,no,no,1
GNG12,55970,no,no,yes,no,no,no,no,1
MAPK3,5595,no,no,no,yes,no,no,no,1
MLL5,55904,no,no,no,yes,no,no,no,1
ZNF395,55893,no,no,yes,no,no,no,no,1
LENEP,55891,no,no,yes,no,no,no,no,1
WSB2,55884,no,no,yes,no,no,no,no,1
CBWD1,55871,no,no,yes,no,no,no,no,1
PRKD1,5587,no,no,no,yes,no,no,no,1
ASH1L,55870,no,no,yes,no,no,no,no,1
TMEM165,55858,no,no,yes,no,no,no,no,1
USE1,55850,no,no,yes,no,no,no,no,1
CISD1,55847,no,no,yes,no,no,no,no,1
TSNAXIP1,55815,no,no,no,yes,no,no,no,1
ADCY10,55811,no,no,yes,no,no,no,no,1
HR,55806,no,no,no,no,yes,no,no,1
PRKCD,5580,no,no,yes,no,no,no,no,1
DDX28,55794,no,no,no,yes,no,no,no,1
SAYSD1,55776,no,no,yes,no,no,no,no,1
PRR11,55771,no,no,yes,no,no,no,no,1
COA1,55744,no,no,yes,no,no,no,no,1
CCDC88A,55704,no,no,yes,no,no,no,no,1
DDX27,55661,no,no,yes,no,no,no,no,1
PRPF40A,55660,no,no,yes,no,no,no,no,1
NHP2,55651,no,no,yes,no,no,no,no,1
RAB20,55647,no,no,yes,no,no,no,no,1
CHD7,55636,no,no,yes,no,no,no,no,1
KRBOX4,55634,no,no,yes,no,no,no,no,1
LRRC16A,55604,no,no,yes,no,no,no,no,1
FAM46A,55603,no,no,yes,no,no,no,no,1
RNPC3,55599,no,no,yes,no,no,no,no,1
GOLGA2P5,55592,no,no,yes,no,no,no,no,1
DNAH3,55567,no,no,yes,no,no,no,no,1
IL17RB,55540,no,no,yes,no,no,no,no,1
SVOP,55530,no,no,yes,no,no,no,no,1
PRF1,5551,no,no,yes,no,no,no,no,1
DNAJA4,55466,no,no,yes,no,no,no,no,1
SIRPG,55423,no,no,yes,no,no,no,no,1
TMCO6,55374,no,no,no,yes,no,no,no,1
PPP6C,5537,no,no,yes,no,no,no,no,1
LGR4,55366,no,no,yes,no,no,no,no,1
HJURP,55355,no,no,yes,no,no,no,no,1
PPP3CC,5533,no,no,no,no,yes,no,no,1
