['10522', 0.3848383004409137, 0.16962834568229035, 1.0, 0.2000965103990743, 'Unlabeled', 'Positive', 'Unlabeled']
['162427', 0.38474887923709883, 0.1792456213542106, 1.0, 0.1805042742399742, 'Unlabeled', 'Positive', 'Unlabeled']
['138311', 0.3845753869268165, 0.17820643414585013, 1.0, 0.18188867941556555, 'Unlabeled', 'Positive', 'Unlabeled']
['84275', 0.38416937431872017, 0.18112532886913876, 1.0, 0.174426839536603, 'Unlabeled', 'Positive', 'Unlabeled']
['114984', 0.38401441265002156, 0.1682239608051607, 1.0, 0.19960972898976492, 'Unlabeled', 'Positive', 'Unlabeled']
['25896', 0.3839994205250765, 0.18295183561819475, 1.0, 0.1700940108639166, 'Unlabeled', 'Positive', 'Unlabeled']
['124935', 0.3839587385055705, 0.17515311842118422, 0.7946529128351901, 0.1855287171799134, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['147807', 0.3839587385055705, 0.17515311842118422, 0.7946529128351901, 0.18552871717991345, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['54814', 0.3839587385055705, 0.17515311842118422, 0.7946529128351901, 0.1855287171799134, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['85026', 0.3839587385055705, 0.17515311842118422, 0.7946529128351901, 0.1855287171799134, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['3338', 0.3839586380645415, 0.1751529867120207, 1.0, 0.18552857883412457, 'Unlabeled', 'Positive', 'Unlabeled']
['387882', 0.38377436346352045, 0.1813664163948617, 0.7945914544878402, 0.17236462106435838, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['159090', 0.383774105287501, 0.1813660833601912, 1.0, 0.17236425442962167, 'Unlabeled', 'Positive', 'Unlabeled']
['11152', 0.3835571204787022, 0.1716368188820427, 1.0, 0.19095484415072342, 'Unlabeled', 'Positive', 'Unlabeled']
['10884', 0.38334799718703055, 0.1807899930533843, 1.0, 0.17181200264135346, 'Unlabeled', 'Positive', 'Unlabeled']
['117145', 0.3829040457356573, 0.17881237130765718, 0.7943013485785525, 0.17399144032731484, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['56647', 0.38290379239117106, 0.17881204367283074, 1.0, 0.17399108221902285, 'Unlabeled', 'Positive', 'Unlabeled']
['63905', 0.38262326256811185, 0.1740159819551935, 1.0, 0.18246108636206038, 'Unlabeled', 'Positive', 'Unlabeled']
['54587', 0.3825220563734212, 0.1735243835108696, 1.0, 0.18303945847194567, 'Unlabeled', 'Positive', 'Unlabeled']
['84062', 0.382308491712689, 0.17528777249730557, 1.0, 0.1786584218561449, 'Unlabeled', 'Positive', 'Unlabeled']
['27324', 0.38183920654657205, 0.17472130529564042, 1.0, 0.1779142155950074, 'Unlabeled', 'Positive', 'Unlabeled']
['8525', 0.3817172457854217, 0.17208535840435102, 1.0, 0.1826982663329849, 'Unlabeled', 'Positive', 'Unlabeled']
['5201', 0.3812002956675629, 0.17062574425010135, 1.0, 0.18354969417004918, 'Unlabeled', 'Positive', 'Unlabeled']
['5878', 0.38107301349885503, 0.16704415855497237, 1.0, 0.19020373688547543, 'Unlabeled', 'Positive', 'Unlabeled']
