['55559', '-1.036', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 474]
['1676', '-1.036', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 86]
['23279', '-1.034', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 949]
['6230', '-1.034', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 358]
['10196', '-1.034', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 746]
['51650', '-1.033', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 666]
['1798', '-1.033', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 297]
['50628', '-1.032', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 943]
['7178', '-1.032', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 131]
['3032', '-1.032', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 361]
['55062', '-1.031', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 214]
['54069', '-1.031', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 523]
['9833', '-1.031', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 543]
['38', '-1.031', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 375]
['23550', '-1.031', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 115]
['9830', '-1.031', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 71]
['54499', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 684]
['6128', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 330]
['6176', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 193]
['55635', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 311]
['373156', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 202]
['2189', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 345]
['79731', '-1.030', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 649]
['2058', '-1.029', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 747]
['5264', '-1.029', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 299]
['54919', '-1.028', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 349]
['4998', '-1.028', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 227]
['136647', '-1.028', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 169]
['56902', '-1.027', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 637]
['57048', '-1.027', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 228]
['7272', '-1.027', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 423]
['51014', '-1.026', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 546]
['80347', '-1.026', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 184]
['9093', '-1.026', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 261]
['6876', '-1.025', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 149]
['6218', '-1.025', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 235]
['9933', '-1.025', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 625]
['7923', '-1.025', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 60]
['6194', '-1.024', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 350]
['4686', '-1.023', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 747]
['54981', '-1.023', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 136]
['9482', '-1.023', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 188]
['10419', '-1.022', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 797]
['6175', '-1.022', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 269]
['55149', '-1.022', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 581]
['56342', '-1.022', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 132]
